127.0.0.1 - - [28/Aug/2024:14:50:18 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:21 +0530] "GET /shopping-cart/ HTTP/1.1" 200 25637
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/css/changes.css HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084143 HTTP/1.1" 200 21915
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084146 HTTP/1.1" 200 30013
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084144 HTTP/1.1" 200 20420
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423083830 HTTP/1.1" 200 21798
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084145 HTTP/1.1" 200 19444
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423082243 HTTP/1.1" 200 96902
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084147 HTTP/1.1" 200 8013
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084148 HTTP/1.1" 200 31791
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084150 HTTP/1.1" 200 21481
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084152 HTTP/1.1" 200 34752
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084151 HTTP/1.1" 200 16694
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084149 HTTP/1.1" 200 65614
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084153 HTTP/1.1" 200 48613
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084154 HTTP/1.1" 200 48989
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084155 HTTP/1.1" 200 18922
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084157 HTTP/1.1" 200 13987
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084161 HTTP/1.1" 200 14509
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084158 HTTP/1.1" 200 37121
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084160 HTTP/1.1" 200 22883
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084156 HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:22 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084159 HTTP/1.1" 200 23693
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:23 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084162 HTTP/1.1" 200 7749
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:23 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:29 +0530] "GET /shopping-cart/login.jsp HTTP/1.1" 200 7134
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:50:32 +0530] "GET /shopping-cart/register.jsp HTTP/1.1" 200 8001
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:13 +0530] "POST /shopping-cart/RegisterSrv HTTP/1.1" 500 1747
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:51 +0530] "GET /shopping-cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:51 +0530] "GET /shopping-cart/ HTTP/1.1" 200 25637
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:51 +0530] "GET /shopping-cart/css/changes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423083830 HTTP/1.1" 200 21798
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423082243 HTTP/1.1" 200 96902
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084143 HTTP/1.1" 200 21915
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084147 HTTP/1.1" 200 8013
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084145 HTTP/1.1" 200 19444
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084144 HTTP/1.1" 200 20420
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084149 HTTP/1.1" 200 65614
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084148 HTTP/1.1" 200 31791
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084146 HTTP/1.1" 200 30013
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084150 HTTP/1.1" 200 21481
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084151 HTTP/1.1" 200 16694
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084154 HTTP/1.1" 200 48989
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084152 HTTP/1.1" 200 34752
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084156 HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084157 HTTP/1.1" 200 13987
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084155 HTTP/1.1" 200 18922
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084153 HTTP/1.1" 200 48613
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084158 HTTP/1.1" 200 37121
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084159 HTTP/1.1" 200 23693
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084160 HTTP/1.1" 200 22883
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084162 HTTP/1.1" 200 7749
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:52 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084161 HTTP/1.1" 200 14509
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:51:54 +0530] "GET /shopping-cart/login.jsp HTTP/1.1" 200 7134
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:52:01 +0530] "GET /shopping-cart/register.jsp HTTP/1.1" 200 8001
0:0:0:0:0:0:0:1 - - [28/Aug/2024:14:52:16 +0530] "POST /shopping-cart/RegisterSrv HTTP/1.1" 500 1747
0:0:0:0:0:0:0:1 - - [28/Aug/2024:15:08:54 +0530] "POST /shopping-cart/RegisterSrv HTTP/1.1" 200 8086
0:0:0:0:0:0:0:1 - - [28/Aug/2024:15:08:54 +0530] "GET /shopping-cart/css/changes.css HTTP/1.1" 304 -
